F:\IMG\center_2019_11_05_14_30_56_544.jpg, F:\IMG\left_2019_11_05_14_30_56_544.jpg, F:\IMG\right_2019_11_05_14_30_56_544.jpg, 0, 0, 0, 7.796847E-05
F:\IMG\center_2019_11_05_14_30_56_647.jpg, F:\IMG\left_2019_11_05_14_30_56_647.jpg, F:\IMG\right_2019_11_05_14_30_56_647.jpg, 0, 0, 0, 7.788216E-05
F:\IMG\center_2019_11_05_14_30_56_751.jpg, F:\IMG\left_2019_11_05_14_30_56_751.jpg, F:\IMG\right_2019_11_05_14_30_56_751.jpg, 0, 0, 0, 8.094445E-05
F:\IMG\center_2019_11_05_14_30_56_850.jpg, F:\IMG\left_2019_11_05_14_30_56_850.jpg, F:\IMG\right_2019_11_05_14_30_56_850.jpg, 0, 0, 0, 7.907553E-05
F:\IMG\center_2019_11_05_14_30_56_953.jpg, F:\IMG\left_2019_11_05_14_30_56_953.jpg, F:\IMG\right_2019_11_05_14_30_56_953.jpg, 0, 0, 0, 7.821304E-05
F:\IMG\center_2019_11_05_14_30_57_054.jpg, F:\IMG\left_2019_11_05_14_30_57_054.jpg, F:\IMG\right_2019_11_05_14_30_57_054.jpg, 0, 0, 0, 7.828988E-05
F:\IMG\center_2019_11_05_14_30_57_157.jpg, F:\IMG\left_2019_11_05_14_30_57_157.jpg, F:\IMG\right_2019_11_05_14_30_57_157.jpg, 0, 0, 0, 7.994327E-05
F:\IMG\center_2019_11_05_14_30_57_259.jpg, F:\IMG\left_2019_11_05_14_30_57_259.jpg, F:\IMG\right_2019_11_05_14_30_57_259.jpg, 0, 0, 0, 7.864918E-05
F:\IMG\center_2019_11_05_14_30_57_361.jpg, F:\IMG\left_2019_11_05_14_30_57_361.jpg, F:\IMG\right_2019_11_05_14_30_57_361.jpg, 0, 0, 0, 7.93628E-05
F:\IMG\center_2019_11_05_14_30_57_461.jpg, F:\IMG\left_2019_11_05_14_30_57_461.jpg, F:\IMG\right_2019_11_05_14_30_57_461.jpg, 0, 0.2560497, 0, 0.1764009
F:\IMG\center_2019_11_05_14_30_57_561.jpg, F:\IMG\left_2019_11_05_14_30_57_561.jpg, F:\IMG\right_2019_11_05_14_30_57_561.jpg, 0, 0.5564961, 0, 0.6968599
F:\IMG\center_2019_11_05_14_30_57_665.jpg, F:\IMG\left_2019_11_05_14_30_57_665.jpg, F:\IMG\right_2019_11_05_14_30_57_665.jpg, 0, 0.8572689, 0, 1.519412
F:\IMG\center_2019_11_05_14_30_57_768.jpg, F:\IMG\left_2019_11_05_14_30_57_768.jpg, F:\IMG\right_2019_11_05_14_30_57_768.jpg, 0, 1, 0, 2.921573
F:\IMG\center_2019_11_05_14_30_57_872.jpg, F:\IMG\left_2019_11_05_14_30_57_872.jpg, F:\IMG\right_2019_11_05_14_30_57_872.jpg, 0, 1, 0, 4.098297
F:\IMG\center_2019_11_05_14_30_57_975.jpg, F:\IMG\left_2019_11_05_14_30_57_975.jpg, F:\IMG\right_2019_11_05_14_30_57_975.jpg, 0, 1, 0, 5.26314
F:\IMG\center_2019_11_05_14_30_58_078.jpg, F:\IMG\left_2019_11_05_14_30_58_078.jpg, F:\IMG\right_2019_11_05_14_30_58_078.jpg, 0, 1, 0, 6.41666
F:\IMG\center_2019_11_05_14_30_58_181.jpg, F:\IMG\left_2019_11_05_14_30_58_181.jpg, F:\IMG\right_2019_11_05_14_30_58_181.jpg, 0, 1, 0, 7.558976
F:\IMG\center_2019_11_05_14_30_58_281.jpg, F:\IMG\left_2019_11_05_14_30_58_281.jpg, F:\IMG\right_2019_11_05_14_30_58_281.jpg, -0.1205049, 1, 0, 8.687044
F:\IMG\center_2019_11_05_14_30_58_382.jpg, F:\IMG\left_2019_11_05_14_30_58_382.jpg, F:\IMG\right_2019_11_05_14_30_58_382.jpg, -0.4194201, 1, 0, 9.75807
F:\IMG\center_2019_11_05_14_30_58_484.jpg, F:\IMG\left_2019_11_05_14_30_58_484.jpg, F:\IMG\right_2019_11_05_14_30_58_484.jpg, -0.5418167, 1, 0, 10.78183
F:\IMG\center_2019_11_05_14_30_58_587.jpg, F:\IMG\left_2019_11_05_14_30_58_587.jpg, F:\IMG\right_2019_11_05_14_30_58_587.jpg, -0.1848569, 1, 0, 12.22161
F:\IMG\center_2019_11_05_14_30_58_689.jpg, F:\IMG\left_2019_11_05_14_30_58_689.jpg, F:\IMG\right_2019_11_05_14_30_58_689.jpg, 0, 1, 0, 13.05245
F:\IMG\center_2019_11_05_14_30_58_792.jpg, F:\IMG\left_2019_11_05_14_30_58_792.jpg, F:\IMG\right_2019_11_05_14_30_58_792.jpg, 0, 1, 0, 14.37429
F:\IMG\center_2019_11_05_14_30_58_894.jpg, F:\IMG\left_2019_11_05_14_30_58_894.jpg, F:\IMG\right_2019_11_05_14_30_58_894.jpg, 0, 1, 0, 15.17699
F:\IMG\center_2019_11_05_14_30_58_997.jpg, F:\IMG\left_2019_11_05_14_30_58_997.jpg, F:\IMG\right_2019_11_05_14_30_58_997.jpg, -0.2146284, 1, 0, 16.46303
F:\IMG\center_2019_11_05_14_30_59_098.jpg, F:\IMG\left_2019_11_05_14_30_59_098.jpg, F:\IMG\right_2019_11_05_14_30_59_098.jpg, -0.5184951, 1, 0, 17.20705
F:\IMG\center_2019_11_05_14_30_59_201.jpg, F:\IMG\left_2019_11_05_14_30_59_201.jpg, F:\IMG\right_2019_11_05_14_30_59_201.jpg, -0.2513661, 1, 0, 18.38205
F:\IMG\center_2019_11_05_14_30_59_303.jpg, F:\IMG\left_2019_11_05_14_30_59_303.jpg, F:\IMG\right_2019_11_05_14_30_59_303.jpg, -0.0118782, 1, 0, 19.24695
F:\IMG\center_2019_11_05_14_30_59_406.jpg, F:\IMG\left_2019_11_05_14_30_59_406.jpg, F:\IMG\right_2019_11_05_14_30_59_406.jpg, -0.3430771, 1, 0, 20.45665
F:\IMG\center_2019_11_05_14_30_59_510.jpg, F:\IMG\left_2019_11_05_14_30_59_510.jpg, F:\IMG\right_2019_11_05_14_30_59_510.jpg, -0.03129574, 1, 0, 21.53327
F:\IMG\center_2019_11_05_14_30_59_615.jpg, F:\IMG\left_2019_11_05_14_30_59_615.jpg, F:\IMG\right_2019_11_05_14_30_59_615.jpg, 0, 1, 0, 22.4708
F:\IMG\center_2019_11_05_14_30_59_718.jpg, F:\IMG\left_2019_11_05_14_30_59_718.jpg, F:\IMG\right_2019_11_05_14_30_59_718.jpg, -0.1917915, 1, 0, 23.46662
F:\IMG\center_2019_11_05_14_30_59_819.jpg, F:\IMG\left_2019_11_05_14_30_59_819.jpg, F:\IMG\right_2019_11_05_14_30_59_819.jpg, -0.2655121, 1, 0, 24.35737
F:\IMG\center_2019_11_05_14_30_59_920.jpg, F:\IMG\left_2019_11_05_14_30_59_920.jpg, F:\IMG\right_2019_11_05_14_30_59_920.jpg, 0, 1, 0, 25.31986
F:\IMG\center_2019_11_05_14_31_00_023.jpg, F:\IMG\left_2019_11_05_14_31_00_023.jpg, F:\IMG\right_2019_11_05_14_31_00_023.jpg, -0.1873797, 1, 0, 26.26451
F:\IMG\center_2019_11_05_14_31_00_123.jpg, F:\IMG\left_2019_11_05_14_31_00_123.jpg, F:\IMG\right_2019_11_05_14_31_00_123.jpg, -0.2704615, 1, 0, 27.14045
F:\IMG\center_2019_11_05_14_31_00_227.jpg, F:\IMG\left_2019_11_05_14_31_00_227.jpg, F:\IMG\right_2019_11_05_14_31_00_227.jpg, 0, 1, 0, 28.25854
F:\IMG\center_2019_11_05_14_31_00_329.jpg, F:\IMG\left_2019_11_05_14_31_00_329.jpg, F:\IMG\right_2019_11_05_14_31_00_329.jpg, -0.0467571, 1, 0, 29.17948
